parameter,value
avg_kmph_T1,60
avg_kmph_T2,60
avg_kmph_T3,60
avg_kmph_T4,60
avg_kmph_T5,60
avg_kmph_T6,60
avg_kmph_T7,60
truck_op_cost_T1,48.4
truck_op_cost_T2,48.4
truck_op_cost_T3,48.4
truck_op_cost_T4,48.4
truck_op_cost_T5,48.4
truck_op_cost_T6,48.4
truck_op_cost_T7,48.4
loading_cost,3.59
unloading_cost,3.58
stacking_cost,0.44
trip_factor,2
truck_capacity_T1,21.76
truck_capacity_T2,21.76
truck_capacity_T3,21.76
truck_capacity_T4,21.76
truck_capacity_T5,21.76
truck_capacity_T6,21.76
truck_capacity_T7,21.76
TRU_threshold,60
TRU_factor,1.2
max_wt_plt,0.8164663
plt_wt,0.0725748
