index,parcel_id,ProcessPlant_id,distance_km,distance_m
1,1,1,12.4808,12480.8
2,1,2,3000,3000000
3,2,1,7.5726,7572.6
4,2,2,3000,3000000
5,3,1,9.4819,9481.9
6,3,2,3000,3000000
7,4,1,11.2183,11218.3
8,4,2,3000,3000000
9,5,1,450.8456,450845.6
10,5,2,3000,3000000
11,6,1,450.1385,450138.5
12,6,2,3000,3000000
13,7,1,453.5654,453565.4
14,7,2,3000,3000000
15,8,1,454.061,454061
16,8,2,3000,3000000
17,9,1,443.9666,443966.6
18,9,2,3000,3000000
19,10,1,447.5812,447581.2
20,10,2,3000,3000000
21,11,1,450.4993,450499.3
22,11,2,3000,3000000
23,12,1,514.2055,514205.5
24,12,2,3000,3000000
25,13,1,515.0012,515001.2
26,13,2,3000,3000000
27,14,1,609.3098,609309.8
28,14,2,3000,3000000
29,15,1,604.7229,604722.9
30,15,2,3000,3000000
31,16,1,611.8182,611818.2
32,16,2,3000,3000000
33,17,1,631.454,631454
34,17,2,3000,3000000
