index,parcel_id,depot_id,distance_km,distance_m
1,1,1,1.4386,1438.6
2,1,2,7.2579,7257.9
3,1,3,12.0301,12030.1
4,1,4,448.8465,448846.5
5,2,1,3.4696,3469.6
6,2,2,7.4538,7453.8
7,2,3,8.6044,8604.4
8,2,4,445.6852,445685.2
9,3,1,2.2676,2267.6
10,3,2,9.3631,9363.1
11,3,3,10.5138,10513.8
12,3,4,447.5945,447594.5
13,4,1,8.4856,8485.6
14,4,2,5.6434,5643.4
15,4,3,10.4156,10415.6
16,4,4,450.2772,450277.2
17,5,1,450.6992,450699.2
18,5,2,450.8313,450831.3
19,5,3,451.8774,451877.4
20,5,4,1,8786.1
21,6,1,449.9922,449992.2
22,6,2,450.1242,450124.2
23,6,3,451.1704,451170.4
24,6,4,1,8436.8
25,7,1,453.4191,453419.1
26,7,2,453.5511,453551.1
27,7,3,454.5973,454597.3
28,7,4,1,8638.4
29,8,1,453.9146,453914.6
30,8,2,454.0466,454046.6
31,8,3,455.0928,455092.8
32,8,4,1,8860.1
33,9,1,443.8203,443820.3
34,9,2,443.9523,443952.3
35,9,3,444.9985,444998.5
36,9,4,1,3360.1
37,10,1,447.4348,447434.8
38,10,2,447.5669,447566.9
39,10,3,448.6131,448613.1
40,10,4,1,5012.5
41,11,1,450.3529,450352.9
42,11,2,450.485,450485
43,11,3,451.5311,451531.1
44,11,4,1,10375.9
